BillID,Type,Title,Status,Summary,Category_Label
118-sres1,sres,A resolution establishing a Committee to Inform the President of the United States that a quorum of each House is assembled.,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)"," <p>This resolution establishes a Senate committee to join with a corresponding House of Representatives committee, which shall notify the President that a quorum of each chamber has assembled. </p>",3
118-sres3,sres,"A resolution to elect Patty Murray, a Senator from the State of Washington, to be President pro tempore of the Senate of the United States.","Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)", <p>This resolution elects Senator Patty Murray from Washington as the President pro tempore of the Senate.</p>,4
118-sres4,sres,A resolution notifying the President of the United States of the election of a President pro tempore.,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)", <p>This resolution notifies the President of the United States of the election of the Honorable Patty Murray as President pro tempore of the Senate.</p>,4
118-sres6,sres,A resolution fixing the hour of daily meeting of the Senate.,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7; text: CR S7)", <p>This resolution sets the daily meeting time of the Senate at noon unless otherwise ordered.</p>,3
118-sres2,sres,A resolution informing the House of Representatives that a quorum of the Senate is assembled.,Message on Senate action sent to the House., <p>This resolution informs the House of Representatives that a quorum of the Senate is assembled.</p>,3
118-sres8,sres,A resolution to make effective appointment of Senate Legal Counsel.,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7; text: CR S7)"," <p>This resolution makes the President pro tempore's appointment of Morgan J. Frankel as Senate Legal Counsel effective January 3, 2023, for a term of service to expire at the end of the 119th Congress.</p>",4
118-sres9,sres,A resolution to make effective appointment of Deputy Senate Legal Counsel.,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7; text: CR S7)"," <p>This resolution makes the President pro tempore's appointment of Patricia Mack Bryan as Deputy Senate Legal Counsel effective January 3, 2023, for a term of service to expire at the end of the 119th Congress.</p>",4
118-sres5,sres,A resolution notifying the House of Representatives of the election of a President pro tempore.,Message on Senate action sent to the House., <p>This resolution notifies the House of Representatives of the election of the Honorable Patty Murray as President pro tempore of the Senate.</p>,3
118-sres7,sres,A resolution fixing the hour of daily meeting of the Senate.,"Submitted in the Senate. Placed on Senate Legislative Calendar under Over, Under the Rule. (text: CR S20)", <p>This resolution sets the daily meeting time of the Senate at 12:01 p.m. unless otherwise ordered.</p>,3
118-hres1,hres,Electing officers of the House of Representatives.,Motion to reconsider laid on the table Agreed to without objection.," <p>This resolution elects the following officers of the House of Representatives: (1) Cheryl L. Johnson as Clerk, (2) Catherine Szpindor as Chief Administrative Officer, and (3) Rev. Dr. Margaret Grun Kibben as Chaplain.</p>",3
118-hres2,hres,To inform the Senate that a quorum of the House has assembled and election of the Speaker and the Clerk.,Motion to reconsider laid on the table Agreed to without objection.,"<p>This resolution informs the Senate that a quorum of the House of Representatives has assembled and that Kevin McCarthy and Cheryl L. Johnson have been elected Speaker of the House and Clerk, respectively.</p>",3
118-hres3,hres,Authorizing the Speaker to appoint a committee to notify the President of the assembly of the Congress.,Motion to reconsider laid on the table Agreed to without objection.,"<p>This resolution authorizes the Speaker of the House of Representatives to appoint a committee, joined with a corresponding Senate committee, which shall notify the President that a quorum of each chamber has assembled.</p>",3
118-hres4,hres,Authorizing the Clerk to inform the President of the election of the Speaker and the Clerk.,Motion to reconsider laid on the table Agreed to without objection.,"<p>This resolution instructs the Clerk of the House of Representatives to inform the President that the House has elected Kevin McCarthy and Cheryl L. Johnson as Speaker of the House and Clerk, respectively.</p>",3
118-hjres8,hjres,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,Referred to the House Committee on the Judiciary., <p>This joint resolution proposes a constitutional amendment requiring the Supreme Court to consist of nine Justices. </p>,1
118-hr27,hr,Prosecutors Need to Prosecute Act,Referred to the House Committee on the Judiciary.," <p><b>Prosecutors Need to Prosecute Act</b></p> <p>This bill requires certain state and local prosecutors to report data on criminal referrals and outcomes of cases involving murder or non-negligent manslaughter, forcible rape, robbery, aggravated assault, burglary, larceny, motor vehicle theft, arson, or any offense involving the illegal use or possession of a firearm. </p> <p>The reporting requirement applies to state and local prosecutors in a jurisdiction with 380,000 or more persons that receives funding under the Edward Byrne Memorial Justice Assistance Grant program. The report must contain data on</p> <ul type=""disc""> <li>cases referred for prosecution, </li> <li>cases declined for prosecution,</li> <li>cases resulting in a plea agreement with the defendant,</li> <li>cases initiated against defendants with previous arrests or convictions, and</li> <li>defendants charged who were released or eligible for bail. </li> </ul>",0
118-hr49,hr,REVIEW Act of 2023,Referred to the House Committee on the Judiciary.," <p><b>Require Evaluation before Implementing Executive Wishlists Act of 2023 or the REVIEW Act of 202</b><strong>3</strong></p> <p>This bill prohibits a final agency rule from taking effect until (1) the agency submits the rule to the Office of Information and Regulatory Affairs (OIRA), and (2) OIRA makes a determination as to whether the rule is a high-impact rule that may impose an annual cost on the economy of at least $1 billion.</p> <p>In addition, an agency must postpone the effective date of a high-impact rule until the final disposition of all actions seeking judicial review of the rule.</p>",2
118-hr53,hr,FIND Act,Referred to the House Committee on Oversight and Accountability.," <p><strong>Firearm Industry Non-Discrimination Act or the FIND Act</strong></p> <p>This bill prohibits the federal government from entering into contracts with an entity that discriminates against firearm trade associations or businesses that deal in firearms, ammunition, or related products.</p> <p> Specifically, the bill requires a federal agency to include in each contract for the procurement of goods or services awarded by the agency a clause requiring the prime contractor to certify that it (1) has no policy, practice, guidance, or directive that discriminates against a firearm entity or firearm trade association; and (2) will not adopt a policy, practice, guidance, or directive that discriminates against a firearm entity or firearm trade association during the term of the contract.</p> <p>The bill establishes (1) a similar requirement with respect to subcontracts, and (2) penalties for violations.</p> <p>The bill makes such prohibition inapplicable to a contract for the procurement of goods or services that is a sole-source contract. </p>",0
118-hr208,hr,Pet Safety and Protection Act of 2023,Referred to the House Committee on Agriculture.," <p><b>Pet Safety and Protection Act of 2023</b> </p> <p>This bill revises requirements concerning the sources of dogs and cats used by research facilities. Specifically, the bill revises the list of permissible sources of dogs and cats used by research facilities to include dogs and cats obtained (1) from a licensed dealer, (2) from a publicly owned and operated pound or shelter that meets specified requirements, (3) by donation from a person who bred and raised the dog or cat or owned it for not less than one year, or (4) from a research facility licensed by the Department of Agriculture. The requirements pertaining to sources apply to dogs and cats obtained through sales, donations, or offers. Monetary penalties are established for violations.</p>",2
118-hr31,hr,COVER Now Act,Referred to the House Committee on Energy and Commerce.," <p><b>Cover Outstanding Vulnerable Expansion-eligible Residents Now Act or the COVER Now Act</b></p> <p>This bill establishes a demonstration program to allow local governments to provide health benefits to the Medicaid expansion population in states that have not expanded Medicaid. </p> <p>Under the program, local governments may provide coverage for individuals who are newly eligible for Medicaid under the Patient Protection and Affordable Care Act (i.e., the Medicaid expansion population) for a maximum of 10 years, or until their respective states expand Medicaid. The bill provides a 100% federal matching rate for the first three years of program participation.</p> <p>The bill prohibits states from taking certain actions against participating localities, such as withholding funding, increasing taxes, or restricting provider participation. States that violate these requirements are subject to certain funding penalties.</p>",0
118-hr32,hr,Keeping Texas School Construction Costs Down Act of 2023,Referred to the House Committee on Ways and Means.," <p> <strong>Keeping Texas School Construction Costs Down Act of 2023 </strong></p> <p>This bill creates a safe harbor for certain perpetual trust funds. It excludes from the definition of <em>investment property</em> under arbitrage provisions any fund created and controlled by a state and established pursuant to its constitution or state law if on a specified date, substantially all of the assets of the fund consist of nonfinancial assets and the assets are used only to support specifically designated essential governmental functions.</p>",2
118-hr36,hr,Patrick Underwood Federal Law Enforcement Protection Act of 2023,Referred to the House Committee on the Judiciary.," <p><strong></strong><b>Patrick Underwood Federal Law Enforcement Protection Act of 2023 </b></p> <p>This bill revises the federal criminal statute that prohibits assaulting, resisting, or impeding certain federal officers or employees.</p> <p>Among other changes, the bill increases the applicable penalties for such offenses.</p>",0
118-hr37,hr,David Dorn Act of 2023,Referred to the House Committee on the Judiciary.," <p><b>David Dorn Act of 2023</b></p> <p>This bill increases criminal penalties for rioting and related offenses (e.g., inciting a riot).</p> <p>Specifically, the bill increases the maximum prison term from 5 to 10 years. Additionally, if a fine is imposed for an offense, the bill sets a minimum fine amount of $1,000.</p>",0
118-hr129,hr,"To require the Secretary of Defense to ensure drop boxes are maintained on military installations for the deposit of unused prescription drugs, and for other purposes.",Referred to the House Committee on Armed Services., <p>This bill requires the Department of Defense to ensure there is an accessible drop box on each military installation for members of the Armed Forces (and family members) to deposit unused prescription drugs.</p>,2
118-hr130,hr,Thin Blue Line Act,Referred to the House Committee on the Judiciary.," <p><b>Thin Blue Line Act</b></p> <p>This bill expands the list of statutory aggravating factors in death penalty determinations to also include killing or targeting a law enforcement officer, firefighter, or other first responder.</p>",0
118-hr138,hr,Private Student Loan Bankruptcy Fairness Act of 2023,Referred to the House Committee on the Judiciary.," <p><b>Private Student Loan Bankruptcy Fairness Act of 2023 </b></p> <p>This bill modifies the treatment of certain student loans in bankruptcy.</p> <p>Specifically, it allows&nbsp;private student loans to be discharged in bankruptcy&nbsp;regardless of whether&nbsp;a debtor&nbsp;demonstrates&nbsp;undue hardship.&nbsp;Under current law,&nbsp;student loans may be discharged in bankruptcy only if the loans impose an undue hardship on the debtor.</p>",0
118-hr143,hr,"To prohibit the transfer or release of individuals detained at United States Naval Station, Guantanamo Bay, Cuba, to the United States.",Referred to the House Committee on Armed Services.," <p>This bill prohibits the Department of Defense (DOD) from using funds to transfer or release within the United States (including its territories or possessions) any detainee (1) who is not a U.S. citizen or member of the U.S. Armed Forces; and (2) who is or was held by DOD at U.S. Naval Station, Guantanamo Bay, Cuba, on or after January 20, 2009.</p>",0
118-hr144,hr,Adjusting Davis-Bacon for Inflation Act,Referred to the House Committee on Education and the Workforce.," <p><b>Adjusting Davis-Bacon for Inflation Act</b></p> <p> This bill increases from $2,000 to $50,000 the threshold above which the prevailing wage requirements apply to federal or District of Columbia government contracts involving the construction, alteration, or repair of public buildings or public works. These requirements generally ensure that workers are paid the prevailing local wage where such projects takes place.</p>",2
118-hr146,hr,Old Glory Only Act,Referred to the House Committee on Foreign Affairs., <p><b>Old Glory Only Act</b></p> <p>This bill prohibits the flying of any flag other than the U.S. flag over U.S. diplomatic and consular posts.</p>,2
118-hr147,hr,Teddy Roosevelt Fair Competition and Public Trust Act of 2023,Referred to the House Committee on the Judiciary.," <p><b>Teddy Roosevelt Fair Competition and Public Trust Act of 2023</b></p> <p>This bill applies antitrust laws to the business of professional baseball. For purposes of this bill, the term <em>antitrust laws</em> means laws to protect against unlawful restraints and monopolies (Clayton Act) and to protect against unfair methods of competition (Federal Trade Commission Act).</p>",2
118-hr148,hr,JUSTICE Act of 2023,Referred to the House Committee on the Judiciary.," <p><b>Jurists United to Stop Trafficking Imitation Child Exploitation Act of 2023 or the JUSTICE Act of 2023 </b></p> <p>This bill broadens the federal criminal prohibition on importation or transportation of obscene materials.</p> <p>Specifically, the bill makes it a crime to import, or knowingly use a common carrier or interactive computer service to transport, a child sex doll.</p>",0
118-hr149,hr,Protecting Our Democracy by Preventing Foreign Citizens from Voting Act,Referred to the House Committee on Oversight and Accountability.," <p><STRONG>Protecting Our Democracy by Preventing Foreign Citizens from Voting Act</STRONG></p> <p>This bill prohibits federal funds from being made available to state or local governments that allow noncitizens to vote in federal, state, or local elections.</p>",0
118-hr164,hr,Close Biden’s Open Border Act,"Referred to the Committee on Appropriations, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."," <p><strong>Close Biden's Open Border Act</strong></p> <p>This bill provides $15 billion for the Department of Homeland Security to construct a border wall along the southern border of the United States. </p> <p>It also imposes a two-year moratorium on funding for U.S. contributions to the United Nations (U.N.). During the two-year period, funds may not be authorized or otherwise made available for contributions to the U.N.</p>",2
118-hr38,hr,Concealed Carry Reciprocity Act,Referred to the House Committee on the Judiciary.," <p><b>Concealed Carry Reciprocity Act</b></p> <p>This bill establishes a federal statutory framework to regulate the carry or possession of concealed firearms across state lines. </p> <p>Specifically, an individual who is eligible to carry a concealed firearm in one state may carry or possess a concealed handgun (other than a machine gun or destructive device) in another state that allows its residents to carry concealed firearms.</p> <p>It sets forth requirements for the lawful concealed carry across state lines. The bill preempts most state and local laws related to concealed carry and establishes a private right of action for a person adversely affected by interference with a concealed-carry right established by this bill.</p>",2
118-hr151,hr,NFA SBS Act,"Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.", <p><strong>No Frivolous Application for Short-Barreled Shotguns Act or the NFA SBS Act</strong></p> <p>This bill removes certain short-barreled shotguns from the definition of <em>firearms</em> for purposes of the National Firearms Act. It also eliminates the prohibition on the sale or transportation of such shotguns in interstate commerce and treats persons who acquire or possess a short-barreled shotgun as meeting the registration or licensing requirements for such shotguns where such requirements are determined by reference to the National Firearms Act. </p> <p>The bill preempts state or local laws that impose a tax or recordkeeping requirements on short-barreled shotguns. </p> <p>The Department of Justice must destroy records relating to the registration of shotguns described by this bill within one year after the enactment of this bill.</p>,2
118-hr194,hr,SECURE America Act,Referred to the House Committee on the Judiciary.," <p><strong>Safeguards Ensuring Criminal and Unvetted Refugees don't Enter America Act or the SECURE America Act</strong></p> <p>This bill imposes restrictions on the admission of aliens, including refugees, and addresses related issues.</p> <p>Specifically, no refugees may be admitted until Congress enacts a joint resolution setting the maximum number of refugees allowed to be admitted in a particular fiscal year. Currently, that number is set each fiscal year by the President. </p> <p>The Department of Homeland Security (DHS) must notify Congress at least 30 days before determining that an alien or class of aliens is eligible for refugee status. Congress may nullify the determination by enacting a joint resolution of disapproval.</p> <p>Further, an alien shall be inadmissible for holding certain beliefs, such as (1) believing that a system of religious law should be implemented in the United States, (2) believing that the alien does not need to learn English if the alien is not already fluent, or (3) any belief that the Department of State determines is incompatible with the principles of the United States. </p> <p>DHS may not parole into the United States an alien who does not have status under immigration law. Currently, DHS may provide parole in certain instances, including for urgent humanitarian reasons. </p> <p>Federal agencies must notify a state at least 30 days before resettling a refugee in that state. The refugee may not be resettled in that state if the state expresses disapproval. </p> <p>An alien who has committed a crime of violence (generally one involving the use or threat of physical violence against person or property) may not be eligible for refugee status and must be removed.</p>",2
118-hr195,hr,"To provide States with the authority to name post offices located in the State, and for other purposes.",Referred to the House Committee on Oversight and Accountability., <p>This bill provides states with the authority to name post offices located in the state.</p> <p>The bill makes exceptions with respect to federally named post offices.</p>,0
118-hr199,hr,Secure America’s Borders First Act,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."," <p><strong>Secure America's Borders First Act</strong></p> <p>This bill prohibits using federal funds to provide certain military assistance to Ukraine until a border wall system along the U.S.-Mexico border is completed and operation control of such border is achieved.</p> <p>Specifically, this prohibition shall apply to funds made available to the Department of Defense and funds made available for security assistance or security cooperation. </p>",0
118-hconres5,hconres,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,Referred to the House Committee on the Judiciary., <p>This concurrent resolution offers sincere gratitude and appreciation for the nation's law enforcement officers. It also recognizes the sacrifices of law enforcement officers and rejects efforts to defund and dismantle state and local law enforcement agencies.</p> <ul> </ul>,1
