lastName,firstName,UID,state,party,district
Mejia,Analilia,M001246,New Jersey,Democratic,11
Bruce,Terry,B000971,Illinois,Democratic,19
McKinley,David,M001180,West Virginia,Republican,1
Fuller,Clay,F000485,Georgia,Republican,14
Gonzales,Tony,G000594,Texas,Republican,23
Swalwell,Eric,S001193,California,Democratic,14
Engel,Eliot,E000179,New York,Democratic,16
Castro,Joaquin,C001091,Texas,Democratic,20
McDonald Rivet,Kristen,M001237,Michigan,Democratic,8
Crow,Jason,C001121,Colorado,Democratic,6
Armstrong,Alan,A000383,Oklahoma,Republican,
Mullin,Markwayne,M001190,Oklahoma,Republican,
Kiley,Kevin,K000401,California,Independent,3
Cook,Merrill,C000722,Utah,Republican,2
Boyle,Brendan,B001296,Pennsylvania,Democratic,2
Hanabusa,Colleen,H001050,Hawaii,Democratic,1
Young,Todd,Y000064,Indiana,Republican,
Wyden,Ron,W000779,Oregon,Democratic,
Wicker,Roger,W000437,Mississippi,Republican,
Whitehouse,Sheldon,W000802,Rhode Island,Democratic,
Welch,Peter,W000800,Vermont,Democratic,
Warren,Elizabeth,W000817,Massachusetts,Democratic,
Warnock,Raphael,W000790,Georgia,Democratic,
Warner,Mark,W000805,Virginia,Democratic,
Van Hollen,Chris,V000128,Maryland,Democratic,
Tuberville,Tommy,T000278,Alabama,Republican,
Tillis,Thomas,T000476,North Carolina,Republican,
Thune,John,T000250,South Dakota,Republican,
Sullivan,Dan,S001198,Alaska,Republican,
Smith,Tina,S001203,Minnesota,Democratic,
Slotkin,Elissa,S001208,Michigan,Democratic,
Sheehy,Tim,S001232,Montana,Republican,
Shaheen,Jeanne,S001181,New Hampshire,Democratic,
Scott,Rick,S001217,Florida,Republican,
Scott,Tim,S001184,South Carolina,Republican,
Schumer,Charles,S000148,New York,Democratic,
Schmitt,Eric,S001227,Missouri,Republican,
Schiff,Adam,S001150,California,Democratic,
Schatz,Brian,S001194,Hawaii,Democratic,
Sanders,Bernard,S000033,Vermont,Independent,
Rounds,Mike,R000605,South Dakota,Republican,
Rosen,Jacky,R000608,Nevada,Democratic,
Risch,James,R000584,Idaho,Republican,
Ricketts,Pete,R000618,Nebraska,Republican,
Reed,Jack,R000122,Rhode Island,Democratic,
Peters,Gary,P000595,Michigan,Democratic,
Paul,Rand,P000603,Kentucky,Republican,
Padilla,Alex,P000145,California,Democratic,
Ossoff,Jon,O000174,Georgia,Democratic,
Murray,Patty,M001111,Washington,Democratic,
Murphy,Christopher,M001169,Connecticut,Democratic,
Murkowski,Lisa,M001153,Alaska,Republican,
Moreno,Bernie,M001242,Ohio,Republican,
Moran,Jerry,M000934,Kansas,Republican,
Moody,Ashley,M001244,Florida,Republican,
Merkley,Jeff,M001176,Oregon,Democratic,
McCormick,David,M001243,Pennsylvania,Republican,
McConnell,Mitch,M000355,Kentucky,Republican,
Marshall,Roger,M001198,Kansas,Republican,
Markey,Edward,M000133,Massachusetts,Democratic,
Lummis,Cynthia,L000571,Wyoming,Republican,
Luján,Ben,L000570,New Mexico,Democratic,
Lee,Mike,L000577,Utah,Republican,
Lankford,James,L000575,Oklahoma,Republican,
Klobuchar,Amy,K000367,Minnesota,Democratic,
King,Angus,K000383,Maine,Independent,
Kim,Andy,K000394,New Jersey,Democratic,
Kennedy,John,K000393,Louisiana,Republican,
Kelly,Mark,K000377,Arizona,Democratic,
Kaine,Tim,K000384,Virginia,Democratic,
Justice,James,J000312,West Virginia,Republican,
Johnson,Ron,J000293,Wisconsin,Republican,
Hyde-Smith,Cindy,H001079,Mississippi,Republican,
Husted,Jon,H001104,Ohio,Republican,
Hoeven,John,H001061,North Dakota,Republican,
Hirono,Mazie,H001042,Hawaii,Democratic,
Hickenlooper,John,H000273,Colorado,Democratic,
Heinrich,Martin,H001046,New Mexico,Democratic,
Hawley,Josh,H001089,Missouri,Republican,
Hassan,Margaret,H001076,New Hampshire,Democratic,
Hagerty,Bill,H000601,Tennessee,Republican,
Grassley,Chuck,G000386,Iowa,Republican,
Graham,Lindsey,G000359,South Carolina,Republican,
Gillibrand,Kirsten,G000555,New York,Democratic,
Gallego,Ruben,G000574,Arizona,Democratic,
Fischer,Deb,F000463,Nebraska,Republican,
Fetterman,John,F000479,Pennsylvania,Democratic,
Ernst,Joni,E000295,Iowa,Republican,
Durbin,Richard,D000563,Illinois,Democratic,
Duckworth,Tammy,D000622,Illinois,Democratic,
Daines,Steve,D000618,Montana,Republican,
Curtis,John,C001114,Utah,Republican,
Cruz,Ted,C001098,Texas,Republican,
Crapo,Mike,C000880,Idaho,Republican,
Cramer,Kevin,C001096,North Dakota,Republican,
Cotton,Tom,C001095,Arkansas,Republican,
Cortez Masto,Catherine,C001113,Nevada,Democratic,
Cornyn,John,C001056,Texas,Republican,
Coons,Christopher,C001088,Delaware,Democratic,
Collins,Susan,C001035,Maine,Republican,
Cassidy,Bill,C001075,Louisiana,Republican,
Capito,Shelley,C001047,West Virginia,Republican,
Cantwell,Maria,C000127,Washington,Democratic,
Budd,Ted,B001305,North Carolina,Republican,
Britt,Katie,B001319,Alabama,Republican,
Boozman,John,B001236,Arkansas,Republican,
Booker,Cory,B001288,New Jersey,Democratic,
Blunt Rochester,Lisa,B001303,Delaware,Democratic,
Blumenthal,Richard,B001277,Connecticut,Democratic,
Blackburn,Marsha,B001243,Tennessee,Republican,
Bennet,Michael,B001267,Colorado,Democratic,
Barrasso,John,B001261,Wyoming,Republican,
Banks,Jim,B001299,Indiana,Republican,
Baldwin,Tammy,B001230,Wisconsin,Democratic,
Alsobrooks,Angela,A000382,Maryland,Democratic,
Frost,Maxwell,F000476,Florida,Democratic,10
Menefee,Christian,M001245,Texas,Democratic,18
Ottinger,Richard,O000134,New York,Democratic,20
Crenshaw,Dan,C001120,Texas,Republican,2
Latta,Robert,L000566,Ohio,Republican,5
Hamilton,Lee,H000114,Indiana,Democratic,9
Cline,Ben,C001118,Virginia,Republican,6
Costa,Jim,C001059,California,Democratic,21
Whalley,John,W000320,Pennsylvania,Republican,12
Watts,John,W000212,Kentucky,Democratic,6
Thompson,Standish,T000217,Georgia,Republican,5
Terry,John,T000134,New York,Republican,34
Springer,William,S000756,Illinois,Republican,22
Spong,William,S000739,Virginia,Democratic,
Smith,Margaret,S000590,Maine,Republican,
Smith,H.,S000545,California,Republican,20
Schwengel,Frederick,S000161,Iowa,Republican,1
Schmitz,John,S000133,California,Republican,35
Ryan,William,R000562,New York,Democratic,20
Russell,Richard,R000536,Georgia,Democratic,
Reid,Charlotte,R000143,Illinois,Republican,15
Purcell,Graham,P000569,Texas,Democratic,13
Pucinski,Roman,P000559,Illinois,Democratic,11
Prouty,Winston,P000552,Vermont,Republican,
Poff,Richard,P000401,Virginia,Republican,6
Pirnie,Alexander,P000366,New York,Republican,32
Pelly,Thomas,P000196,Washington,Republican,1
O'Konski,Alvin,O000058,Wisconsin,Republican,10
Mundt,Karl,M001078,South Dakota,Republican,
Morton,Rogers,M001021,Maryland,Republican,1
Morse,Frank,M001009,Massachusetts,Republican,5
Monagan,John,M000847,Connecticut,Democratic,5
Miller,Jack,M000730,Iowa,Republican,
Miller,George,M000727,California,Democratic,8
McMillan,John,M000568,South Carolina,Democratic,6
McKevitt,James,M000513,Colorado,Republican,1
McDonald,Jack,M000410,Michigan,Republican,19
McCulloch,William,M000393,Ohio,Republican,4
Long,Speedy,L000429,Louisiana,Democratic,8
Lloyd,Sherman,L000382,Utah,Republican,2
Link,Arthur,L000333,North Dakota,Democratic,2
Lennon,Alton,L000240,North Carolina,Democratic,7
Kyl,John,K000351,Iowa,Republican,4
Keith,Hastings,K000053,Massachusetts,Republican,12
Kee,James,K000038,West Virginia,Democratic,5
Jordan,Leonard,J000269,Idaho,Republican,
Jordan,Benjamin,J000267,North Carolina,Democratic,
Jonas,Charles,J000206,North Carolina,Republican,9
Hull,William,H000947,Missouri,Democratic,6
Hicks,Louise,H000566,Massachusetts,Democratic,9
Harris,Fred,H000237,Oklahoma,Democratic,
Halpern,Seymour,H000085,New York,Republican,6
Hall,Durward,H000049,Missouri,Republican,7
Hagen,George,H000010,Georgia,Democratic,1
Griffin,Charles,G000458,Mississippi,Democratic,3
Garmatz,Edward,G000071,Maryland,Democratic,3
Gambrell,David,G000034,Georgia,Democratic,
Gallagher,Cornelius,G000016,New Jersey,Democratic,13
Galifianakis,Nick,G000015,North Carolina,Democratic,4
Fulton,James,F000422,Pennsylvania,Republican,27
Ellender,Allen,E000112,Louisiana,Democratic,
Edwards,Elaine,E000068,Louisiana,Democratic,
Edwards,Edwin,E000067,Louisiana,Democratic,7
Edmonds,Edmond,E000054,Oklahoma,Democratic,2
Dwyer,Florence,D000587,New Jersey,Republican,12
Dowdy,John,D000467,Texas,Democratic,2
Dow,John,D000462,New York,Democratic,27
Curlin,William,C000997,Kentucky,Democratic,6
Córdova Díaz,Jorge,C000775,Puerto Rico,New Progressive,
Corbett,Robert,C000772,Pennsylvania,Republican,18
Cooper,John,C000758,Kentucky,Republican,
Conover,William,C000702,Pennsylvania,Republican,27
Colmer,William,C000645,Mississippi,Democratic,5
Collins,George,C000637,Illinois,Democratic,6
Celler,Emanuel,C000264,New York,Democratic,10
Carlson,Cliffard,C000153,Illinois,Republican,15
Caffery,Patrick,C000017,Louisiana,Democratic,3
Cabell,Earle,C000002,Texas,Democratic,5
Byrnes,John,B001216,Wisconsin,Republican,8
Byrne,James,B001212,Pennsylvania,Democratic,3
Bow,Frank,B000676,Ohio,Republican,16
Boggs,Thomas,B000594,Louisiana,Democratic,2
Boggs,James,B000593,Delaware,Republican,
Blanton,Leonard,B000548,Tennessee,Democratic,7
Betts,Jackson,B000426,Ohio,Republican,8
Belcher,Page,B000323,Oklahoma,Republican,1
Begich,Nicholas,B000315,Alaska,Democratic,
Baring,Walter,B000141,Nevada,Democratic,
Aspinall,Wayne,A000225,Colorado,Democratic,4
Andrews,George,A000206,Alabama,Democratic,3
Andrews,Elizabeth,A000205,Alabama,Democratic,3
Anderson,William,A000203,Tennessee,Democratic,6
Anderson,Clinton,A000186,New Mexico,Democratic,
Allott,Gordon,A000161,Colorado,Republican,
