UID,lastName,firstName,state,party,party_code,district
S001157,Scott,David,Georgia,Democratic,D,13
C001127,Cherfilus-McCormick,Sheila,Florida,Democratic,D,20
M001246,Mejia,Analilia,New Jersey,Democratic,D,11
B000971,Bruce,Terry L.,Illinois,Democratic,D,19
M001180,McKinley,David B.,West Virginia,Republican,R,1
F000485,Fuller,Clay,Georgia,Republican,R,14
G000594,Gonzales,Tony,Texas,Republican,R,23
S001193,Swalwell,Eric,California,Democratic,D,14
E000179,Engel,Eliot L.,New York,Democratic,D,16
C001091,Castro,Joaquin,Texas,Democratic,D,20
M001237,McDonald Rivet,Kristen,Michigan,Democratic,D,8
C001121,Crow,Jason,Colorado,Democratic,D,6
A000383,Armstrong,Alan,Oklahoma,Republican,R,0
M001190,Mullin,Markwayne,Oklahoma,Republican,R,0
K000401,Kiley,Kevin,California,Independent,Other,3
C000722,Cook,Merrill,Utah,Republican,R,2
B001296,Boyle,Brendan F.,Pennsylvania,Democratic,D,2
H001050,Hanabusa,Colleen,Hawaii,Democratic,D,1
Y000064,Young,Todd,Indiana,Republican,R,0
W000779,Wyden,Ron,Oregon,Democratic,D,0
W000437,Wicker,Roger F.,Mississippi,Republican,R,0
W000802,Whitehouse,Sheldon,Rhode Island,Democratic,D,0
W000800,Welch,Peter,Vermont,Democratic,D,0
W000817,Warren,Elizabeth,Massachusetts,Democratic,D,0
W000790,Warnock,Raphael G.,Georgia,Democratic,D,0
W000805,Warner,Mark R.,Virginia,Democratic,D,0
V000128,Van Hollen,Chris,Maryland,Democratic,D,0
T000278,Tuberville,Tommy,Alabama,Republican,R,0
T000476,Tillis,Thomas,North Carolina,Republican,R,0
T000250,Thune,John,South Dakota,Republican,R,0
S001198,Sullivan,Dan,Alaska,Republican,R,0
S001203,Smith,Tina,Minnesota,Democratic,D,0
S001208,Slotkin,Elissa,Michigan,Democratic,D,0
S001232,Sheehy,Tim,Montana,Republican,R,0
S001181,Shaheen,Jeanne,New Hampshire,Democratic,D,0
S001217,Scott,Rick,Florida,Republican,R,0
S001184,Scott,Tim,South Carolina,Republican,R,0
S000148,Schumer,Charles E.,New York,Democratic,D,0
S001227,Schmitt,Eric,Missouri,Republican,R,0
S001150,Schiff,Adam B.,California,Democratic,D,0
S001194,Schatz,Brian,Hawaii,Democratic,D,0
S000033,Sanders,Bernard,Vermont,Independent,Other,0
R000605,Rounds,Mike,South Dakota,Republican,R,0
R000608,Rosen,Jacky,Nevada,Democratic,D,0
R000584,Risch,James E.,Idaho,Republican,R,0
R000618,Ricketts,Pete,Nebraska,Republican,R,0
R000122,Reed,Jack,Rhode Island,Democratic,D,0
P000595,Peters,Gary C.,Michigan,Democratic,D,0
