UID,Category_Label,Voted_Yes
M001246,-1,0
M001246,0,0
M001246,1,0
M001246,2,0
M001246,3,0
M001246,4,0
F000485,-1,0
F000485,0,0
F000485,1,0
F000485,2,0
F000485,3,0
F000485,4,0
S001193,-1,0
S001193,0,0
S001193,1,0
S001193,2,0
S001193,3,0
S001193,4,0
C001127,-1,0
C001127,0,0
C001127,1,0
C001127,2,0
C001127,3,0
C001127,4,0
M001180,-1,0
M001180,0,0
M001180,1,0
M001180,2,0
M001180,3,0
M001180,4,0
G000594,-1,1
G000594,0,0
G000594,1,0
G000594,2,1
G000594,3,0
G000594,4,0
B000971,-1,0
B000971,0,0
B000971,1,0
B000971,2,0
B000971,3,0
B000971,4,0
A000383,-1,0
A000383,0,0
A000383,1,0
A000383,2,0
A000383,3,0
A000383,4,0
E000179,-1,0
E000179,0,0
E000179,1,0
E000179,2,0
E000179,3,0
E000179,4,0
C001121,-1,0
C001121,0,0
C001121,1,0
C001121,2,0
C001121,3,0
C001121,4,0
M001190,-1,0
M001190,0,0
M001190,1,0
M001190,2,0
M001190,3,0
M001190,4,0
C001091,-1,0
C001091,0,0
C001091,1,0
C001091,2,0
C001091,3,0
C001091,4,0
K000401,-1,1
K000401,0,0
K000401,1,0
K000401,2,1
K000401,3,0
K000401,4,0
M001237,-1,0
M001237,0,0
M001237,1,0
M001237,2,0
M001237,3,0
M001237,4,0
B001296,-1,0
B001296,0,0
B001296,1,0
B001296,2,0
B001296,3,0
B001296,4,0
H001050,-1,0
H001050,0,0
H001050,1,0
H001050,2,0
H001050,3,0
H001050,4,0
C000722,-1,0
C000722,0,0
C000722,1,0
C000722,2,0
C000722,3,0
C000722,4,0
W000779,-1,0
W000779,0,0
W000779,1,0
W000779,2,0
W000779,3,0
W000779,4,0
Y000064,-1,0
Y000064,0,0
Y000064,1,0
Y000064,2,0
Y000064,3,0
Y000064,4,0
W000802,-1,0
W000802,0,0
W000802,1,0
W000802,2,0
W000802,3,0
W000802,4,0
W000437,-1,0
W000437,0,0
W000437,1,0
W000437,2,0
W000437,3,0
W000437,4,0
W000817,-1,0
W000817,0,0
W000817,1,0
W000817,2,0
W000817,3,0
W000817,4,0
W000800,-1,0
W000800,0,0
W000800,1,0
W000800,2,0
W000800,3,0
W000800,4,0
W000805,-1,0
W000805,0,0
W000805,1,0
W000805,2,0
W000805,3,0
W000805,4,0
W000790,-1,0
W000790,0,0
W000790,1,0
W000790,2,0
W000790,3,0
W000790,4,0
T000476,-1,0
T000476,0,0
T000476,1,0
T000476,2,0
T000476,3,0
T000476,4,0
V000128,-1,0
V000128,0,0
V000128,1,0
V000128,2,0
V000128,3,0
V000128,4,0
T000278,-1,0
T000278,0,0
T000278,1,0
T000278,2,0
T000278,3,0
T000278,4,0
S001198,-1,0
S001198,0,0
S001198,1,0
S001198,2,0
S001198,3,0
S001198,4,0
T000250,-1,0
T000250,0,0
T000250,1,0
T000250,2,0
T000250,3,0
T000250,4,0
S001203,-1,0
S001203,0,0
S001203,1,0
S001203,2,0
S001203,3,0
S001203,4,0
S001208,-1,0
S001208,0,0
S001208,1,0
S001208,2,0
S001208,3,0
S001208,4,0
S001232,-1,0
S001232,0,0
S001232,1,0
S001232,2,0
S001232,3,0
S001232,4,0
S001181,-1,0
S001181,0,0
S001181,1,0
S001181,2,0
S001181,3,0
S001181,4,0
S000148,-1,0
S000148,0,0
S000148,1,0
S000148,2,0
S000148,3,0
S000148,4,0
S001217,-1,0
S001217,0,0
S001217,1,0
S001217,2,0
S001217,3,0
S001217,4,0
S001184,-1,0
S001184,0,0
S001184,1,0
S001184,2,0
S001184,3,0
S001184,4,0
