lastName,firstName,UID,state,party,district
Armstrong,Alan,A000383,Oklahoma,Republican,
Mullin,Markwayne,M001190,Oklahoma,Republican,
Kiley,Kevin,K000401,California,Independent,3
Cook,Merrill,C000722,Utah,Republican,2
Boyle,Brendan,B001296,Pennsylvania,Democratic,2
Hanabusa,Colleen,H001050,Hawaii,Democratic,1
Young,Todd,Y000064,Indiana,Republican,
Wyden,Ron,W000779,Oregon,Democratic,
Wicker,Roger,W000437,Mississippi,Republican,
Whitehouse,Sheldon,W000802,Rhode Island,Democratic,
Welch,Peter,W000800,Vermont,Democratic,
Warren,Elizabeth,W000817,Massachusetts,Democratic,
Warnock,Raphael,W000790,Georgia,Democratic,
Warner,Mark,W000805,Virginia,Democratic,
Van Hollen,Chris,V000128,Maryland,Democratic,
Tuberville,Tommy,T000278,Alabama,Republican,
Tillis,Thomas,T000476,North Carolina,Republican,
Thune,John,T000250,South Dakota,Republican,
Sullivan,Dan,S001198,Alaska,Republican,
Smith,Tina,S001203,Minnesota,Democratic,
Slotkin,Elissa,S001208,Michigan,Democratic,
Sheehy,Tim,S001232,Montana,Republican,
Shaheen,Jeanne,S001181,New Hampshire,Democratic,
Scott,Rick,S001217,Florida,Republican,
Scott,Tim,S001184,South Carolina,Republican,
Schumer,Charles,S000148,New York,Democratic,
Schmitt,Eric,S001227,Missouri,Republican,
Schiff,Adam,S001150,California,Democratic,
Schatz,Brian,S001194,Hawaii,Democratic,
Sanders,Bernard,S000033,Vermont,Independent,
Rounds,Mike,R000605,South Dakota,Republican,
Rosen,Jacky,R000608,Nevada,Democratic,
Risch,James,R000584,Idaho,Republican,
Ricketts,Pete,R000618,Nebraska,Republican,
Reed,Jack,R000122,Rhode Island,Democratic,
Peters,Gary,P000595,Michigan,Democratic,
Paul,Rand,P000603,Kentucky,Republican,
Padilla,Alex,P000145,California,Democratic,
Ossoff,Jon,O000174,Georgia,Democratic,
Murray,Patty,M001111,Washington,Democratic,
Murphy,Christopher,M001169,Connecticut,Democratic,
Murkowski,Lisa,M001153,Alaska,Republican,
